"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"14042865","JJ506348","2025-11-29T20:00:00.000","075XX S STONY ISLAND AVE","0820","THEFT","$500 AND UNDER","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","0411","004","8","43","06","1188123","1855151","2025","2025-12-07T15:47:28.000","41.757614433","-87.586115266","
,  
(41.757614433, -87.586115266)"
"14047893","JJ506736","2025-11-29T20:00:00.000","055XX W HOMER ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","2515","025","37","25","07",,,"2025","2025-12-07T15:47:28.000",,,
"14043199","JJ506750","2025-11-29T20:00:00.000","0000X E RANDOLPH ST","1320","CRIMINAL DAMAGE","TO VEHICLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","false","false","0111","001","42","32","14","1176550","1901291","2025","2025-12-07T15:47:28.000","41.884494554","-87.627138636","
,  
(41.884494554, -87.627138636)"
"14045325","JJ509363","2025-11-29T19:59:00.000","012XX N PULASKI RD","2250","LIQUOR LAW VIOLATION","LIQUOR LICENSE VIOLATION","COMMERCIAL / BUSINESS OFFICE","true","false","2535","025","37","23","22","1149488","1908178","2025","2025-12-07T15:47:28.000","41.903961313","-87.726335284","
,  
(41.903961313, -87.726335284)"
"14045271","JJ506294","2025-11-29T19:44:00.000","029XX N KIMBALL AVE","0930","MOTOR VEHICLE THEFT","THEFT / RECOVERY - AUTOMOBILE","STREET","false","false","1412","014","35","21","07","1153209","1919544","2025","2025-12-07T15:47:28.000","41.935077525","-87.712364728","
,  
(41.935077525, -87.712364728)"
"14042757","JJ506269","2025-11-29T19:43:00.000","001XX S WABASH AVE","1210","DECEPTIVE PRACTICE","THEFT OF LABOR / SERVICES","RESTAURANT","true","false","0112","001","34","32","11","1176830","1899747","2025","2025-12-07T15:47:28.000","41.880251406","-87.626157171","
,  
(41.880251406, -87.626157171)"
"14042878","JJ506273","2025-11-29T19:31:00.000","062XX S MAY ST","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","VACANT LOT / LAND","true","false","0712","007","16","68","15","1169721","1863416","2025","2025-12-07T15:47:28.000","41.780713444","-87.65331643","
,  
(41.780713444, -87.65331643)"
"14043183","JJ506786","2025-11-29T19:30:00.000","009XX N OAKLEY BLVD","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","1212","012","36","24","07","1160903","1906168","2025","2025-12-07T15:47:28.000","41.898216413","-87.684460896","
,  
(41.898216413, -87.684460896)"
"14045571","JJ509672","2025-11-29T19:30:00.000","080XX S WESTERN AVE","1152","DECEPTIVE PRACTICE","ILLEGAL USE CASH CARD","OTHER (SPECIFY)","false","true","0835","008","18","70","11","1161769","1851456","2025","2025-12-07T15:47:28.000","41.74806235","-87.682801662","
,  
(41.74806235, -87.682801662)"
"14042814","JJ506276","2025-11-29T19:29:00.000","002XX E CERMAK RD","0460","BATTERY","SIMPLE","SPORTS ARENA / STADIUM","false","false","0132","001","3","33","08B","1178080","1889786","2025","2025-12-07T15:47:28.000","41.852889466","-87.621870493","
,  
(41.852889466, -87.621870493)"
